%time;field.xError.proportional;field.xError.integral;field.xError.derivative;field.yError.proportional;field.yError.integral;field.yError.derivative;field.depthError.proportional;field.depthError.integral;field.depthError.derivative;field.pitchError.proportional;field.pitchError.integral;field.pitchError.derivative;field.yawError.proportional;field.yawError.integral;field.yawError.derivative;field.xGain.proportional;field.xGain.integral;field.xGain.derivative;field.yGain.proportional;field.yGain.integral;field.yGain.derivative;field.depthGain.proportional;field.depthGain.integral;field.depthGain.derivative;field.pitchGain.proportional;field.pitchGain.integral;field.pitchGain.derivative;field.yawGain.proportional;field.yawGain.integral;field.yawGain.derivative;field.xForce.proportional;field.xForce.integral;field.xForce.derivative;field.yForce.proportional;field.yForce.integral;field.yForce.derivative;field.depthForce.proportional;field.depthForce.integral;field.depthForce.derivative;field.pitchForce.proportional;field.pitchForce.integral;field.pitchForce.derivative;field.yawForce.proportional;field.yawForce.integral;field.yawForce.derivative;field.thrust_surge_port;field.thrust_surge_starboard;field.thrust_sway_bow;field.thrust_sway_stern;field.thrust_heave_bow;field.thrust_heave_stern
405000000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.5;0;15;1.5;0;15;4;0;20;0.2;0;1;0.2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
907000000;0.5;0.25;1;0;0;0;0;0;0;0;0;0;0;0;0;1.5;0;15;1.5;0;15;4;0;20;0.2;0;1;0.2;0;1;0.75;0.375;1.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1044000000;-3.106461525;-1.3032307625;-1;0;0;0;0;0;0;0;0;0;0;0;0;1.5;0;15;1.5;0;15;4;0;20;0.2;0;1;0.2;0;1;-4.6596922875;-1.9548461437;-1.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1522000000;-3.0538356304;-2.8301485777;0.1052517891;0;0;0;0;0;0;0;0;0;0;0;0;1.5;0;15;1.5;0;15;4;0;20;0.2;0;1;0.2;0;1;-4.5807534456;-4.2452228665;0.1578776836;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2043000000;-2.891326189;-4.2758116722;0.3250188828;0;0;0;0;0;0;0;0;0;0;0;0;1.5;0;15;1.5;0;15;4;0;20;0.2;0;1;0.2;0;1;-4.3369892836;-6.4137175083;0.4875283241;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2551000000;-2.7192850113;-5.6354541779;0.3440823555;0;0;0;0;0;0;0;0;0;0;0;0;1.5;0;15;1.5;0;15;4;0;20;0.2;0;1;0.2;0;1;-4.0789275169;-8.4531812668;0.5161235332;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3047000000;-2.5574979782;-6.914203167;0.3235740662;0;0;0;0;0;0;0;0;0;0;0;0;1.5;0;15;1.5;0;15;4;0;20;0.2;0;1;0.2;0;1;-3.8362469673;-10.3713047504;0.4853610992;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3570000000;-2.3916056156;-8.1100059748;0.3317847252;0;0;0;0;0;0;0;0;0;0;0;0;1.5;0;15;1.5;0;15;4;0;20;0.2;0;1;0.2;0;1;-3.5874084234;-12.1650089622;0.4976770878;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4043000000;-2.2356317043;-9.2278218269;0.3119478226;0;0;0;0;0;0;0;0;0;0;0;0;1.5;0;15;1.5;0;15;4;0;20;0.2;0;1;0.2;0;1;-3.3534475565;-13.8417327404;0.4679217339;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4522000000;-2.1178123951;-10.2867280245;0.2356386185;0;0;0;0;0;0;0;0;0;0;0;0;1.5;0;15;1.5;0;15;4;0;20;0.2;0;1;0.2;0;1;-3.1767185926;-15.4300920367;0.3534579277;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5024000000;-1.9835263491;-11.278491199;0.2685720921;0;0;0;0;0;0;0;0;0;0;0;0;1.5;0;15;1.5;0;15;4;0;20;0.2;0;1;0.2;0;1;-2.9752895236;-16.9177367985;0.4028581381;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
